Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Asphy,Bleed,0,0,0,0,0,0,0,0,0,0
Hoven,Bleed,0,0,0,0,0,0,0,0,0,0
Mentalist,Bleed,0,0,0,0,0,0,0,0,0,0
Reeps,Bleed,0,0,0,0,0,0,0,0,0,0
Terdsta,Bleed,0,0,0,0,0,0,0,0,0,0
Brendo,Bliss,0,0,0,0,0,0,0,0,0,0
Fishoguy,Bliss,0,0,0,0,0,0,0,0,0,0
Odah,Bliss,0,0,0,0,0,0,0,0,0,0
Sageon,Bliss,0,0,0,0,0,0,0,0,0,0
Wettables,Bliss,0,0,0,0,0,0,0,0,0,0
Beaulo,DarkZero,0,0,0,0,0,0,0,0,0,0
Canadian,DarkZero,0,0,0,0,0,0,0,0,0,0
Nafe,DarkZero,0,0,0,0,0,0,0,0,0,0
Njr,DarkZero,0,0,0,0,0,0,0,0,0,0
Panba,DarkZero,0,0,0,0,0,0,0,0,0,0
Coted,Dplus,0,0,0,0,0,0,0,0,0,0
Dmaly,Dplus,0,0,0,0,0,0,0,0,0,0
Soldier,Dplus,0,0,0,0,0,0,0,0,0,0
Woogiman,Dplus,0,0,0,0,0,0,0,0,0,0
Yass,Dplus,0,0,0,0,0,0,0,0,0,0
Jlad,Falcons,0,0,0,0,0,0,0,0,0,0
Madskills,Falcons,0,0,0,0,0,0,0,0,0,0
Okillz,Falcons,0,0,0,0,0,0,0,0,0,0
P9,Falcons,0,0,0,0,0,0,0,0,0,0
Quibz,Falcons,0,0,0,0,0,0,0,0,0,0
Cyber,FaZe,0,0,0,0,0,0,0,0,0,0
Handy,FaZe,0,0,0,0,0,0,0,0,0,0
Kds,FaZe,0,0,0,0,0,0,0,0,0,0
Soulz,FaZe,0,0,0,0,0,0,0,0,0,0
Vitaking,FaZe,0,0,0,0,0,0,0,0,0,0
Arukaze,FearX,0,0,0,0,0,0,0,0,0,0
Demic,FearX,0,0,0,0,0,0,0,0,0,0
Goodboy,FearX,0,0,0,0,0,0,0,0,0,0
Mephi,FearX,0,0,0,0,0,0,0,0,0,0
Rin,FearX,0,0,0,0,0,0,0,0,0,0
Bgman,Fury,0,0,0,0,0,0,0,0,0,0
Dark,Fury,0,0,0,0,0,0,0,0,0,0
I9,Fury,0,0,0,0,0,0,0,0,0,0
Krit,Fury,0,0,0,0,0,0,0,0,0,0
Lycolis,Fury,0,0,0,0,0,0,0,0,0,0
Alemao,G2,12,7,3,15,1,4,0,20,18,1.1111111111111112
Benja,G2,5,0,0,17,1,4,0,-20,18,-1.1111111111111112
Doki,G2,13,3,3,15,4,4,0,23,18,1.2777777777777777
Uuno,G2,12,6,1,14,1,4,0,20,18,1.1111111111111112
Virtue,G2,10,4,1,16,3,4,0,2,18,0.1111111111111111
Hashom,Geekay,0,0,0,0,0,0,0,0,0,0
Srsly,Geekay,0,0,0,0,0,0,0,0,0,0
Nudl,Geekay,0,0,0,0,0,0,0,0,0,0
Trixd,Geekay,0,0,0,0,0,0,0,0,0,0
Xke,Geekay,0,0,0,0,0,0,0,0,0,0
Lagonis,Liquid,0,0,0,0,0,0,0,0,0,0
Nesk,Liquid,0,0,0,0,0,0,0,0,0,0
Paluh,Liquid,0,0,0,0,0,0,0,0,0,0
Resetz,Liquid,0,0,0,0,0,0,0,0,0,0
Volpz,Liquid,0,0,0,0,0,0,0,0,0,0
Cameraman,LOS,0,0,0,0,0,0,0,0,0,0
Dash,LOS,0,0,0,0,0,0,0,0,0,0
Dotz,LOS,0,0,0,0,0,0,0,0,0,0
Lobin,LOS,0,0,0,0,0,0,0,0,0,0
Maia,LOS,0,0,0,0,0,0,0,0,0,0
Dias,M80,0,0,0,0,0,0,0,0,0,0
Gmz,M80,0,0,0,0,0,0,0,0,0,0
Iconic,M80,0,0,0,0,0,0,0,0,0,0
Spoit,M80,0,0,0,0,0,0,0,0,0,0
Yoggah,M80,0,0,0,0,0,0,0,0,0,0
Kondz,NiP,0,0,0,0,0,0,0,0,0,0
Muzi,NiP,0,0,0,0,0,0,0,0,0,0
Pino,NiP,0,0,0,0,0,0,0,0,0,0
Psycho,NiP,0,0,0,0,0,0,0,0,0,0
Wizard,NiP,0,0,0,0,0,0,0,0,0,0
Fishlike,Scarz,0,0,0,0,0,0,0,0,0,0
Pyon,Scarz,0,0,0,0,0,0,0,0,0,0
Rec,Scarz,0,0,0,0,0,0,0,0,0,0
Taiyou,Scarz,0,0,0,0,0,0,0,0,0,0
Washoy,Scarz,0,0,0,0,0,0,0,0,0,0
Ambi,Soniqs,0,0,0,0,0,0,0,0,0,0
Ctzn,Soniqs,0,0,0,0,0,0,0,0,0,0
Geo,Soniqs,0,0,0,0,0,0,0,0,0,0
Gryxr,Soniqs,0,0,0,0,0,0,0,0,0,0
Rexen,Soniqs,0,0,0,0,0,0,0,0,0,0
Ashn,SSG,0,0,0,0,0,0,0,0,0,0
Forrest,SSG,0,0,0,0,0,0,0,0,0,0
Fultz,SSG,0,0,0,0,0,0,0,0,0,0
Hotan,SSG,0,0,0,0,0,0,0,0,0,0
J90,SSG,0,0,0,0,0,0,0,0,0,0
Always,Virtus Pro,29,15,7,29,8,18,0,77,37,2.081081081081081
Dan,Virtus Pro,35,23,7,21,4,18,0,131,37,3.5405405405405403
Joystick,Virtus Pro,29,10,2,27,4,18,0,86,37,2.324324324324324
Pasha,Virtus Pro,21,11,2,23,2,18,0,61,37,1.6486486486486487
Sheppard,Virtus Pro,18,7,0,21,1,18,2,70,37,1.8918918918918919
Felipox,W7M,28,14,4,33,4,33,0,93,55,1.690909090909091
Herdz,W7M,52,10,11,40,8,33,1,210,55,3.8181818181818183
Jv92,W7M,44,21,6,31,1,33,0,182,55,3.309090909090909
Kheyze,W7M,42,21,7,43,8,33,1,132,55,2.4
Nade,W7M,32,14,1,37,5,33,6,141,55,2.5636363636363635
Biboo,Wolves,0,0,0,0,0,0,0,0,0,0
Deadshot,Wolves,0,0,0,0,0,0,0,0,0,0
Mowwwgli,Wolves,0,0,0,0,0,0,0,0,0,0
P4,Wolves,0,0,0,0,0,0,0,0,0,0
Shinka,Wolves,0,0,0,0,0,0,0,0,0,0
